cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
新レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h08m32s.jpg,12558,15614,10524,12151,12863,15457,23888,9328,10573,7945,12887,15857
エレクトロドリーム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h12m14s.jpg,12568,15603,10520,15452,23891,9325,10600,7970,12891,15881,0,0
エキサイトバイク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h16m08s.jpg,15585,10518,15463,23880,9319,615,7985,12913,15905,18436,19574,10119
ココナッツモール,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h19m52s.jpg,15586,10519,15449,23893,9342,10601,8006,12943,15910,18429,19551,10106
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h23m20s.jpg,10538,15470,23900,9344,10593,7999,12943,15916,19572,20753,0,0
シャーベットランド,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h27m14s.jpg,15466,23912,10624,7996,12919,15918,19582,10848,9827,0,0,0
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h31m20s.jpg,15477,8004,12940,15941,19582,10828,9836,17960,20754,11504,17511,0
ワリオスタジアム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h35m34s.jpg,15471,8017,12960,15967,19588,10856,9835,17930,20737,17513,20744,2520
エキサイトバイク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h39m04s.jpg,15498,8021,12942,15949,10836,9846,17949,20724,17522,20755,2534,23247
ドルフィンみさき,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h42m48s.jpg,15486,8049,12948,15962,10825,9854,17964,20710,17527,2535,23265,0
マリオカートスタジアム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h46m48s.jpg,15502,8049,12962,15955,17966,20724,17503,2544,23283,30787,10867,0
ビッグブルー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h50m20s.jpg,15487,8081,12955,15950,17965,20699,17519,23287,10879,17150,15936,0
パリプロムナード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】アラビアンなマリカを見せます。【岸堂天真ホロスターズ】_00h57m56s.jpg,15484,8122,15991,17935,20704,17484,17154,15971,10538,10533,0,0
